comma_count,count,percentage
0,54,1.3939
1,567,14.636
2,1029,26.5617
3,951,24.5483
4,647,16.7011
5,379,9.7832
6,141,3.6396
7,76,1.9618
8,24,0.6195
9,5,0.1291
10,1,0.0258
